# Energy z_(mm) Energy_Dep Net_Charge
200 0 1.59151e-22 -0.8915
200 1 2.03097e-25 0.0002
200 2 4.07838e-25 0.0003
200 3 3.53834e-25 0.0002
200 4 4.10355e-25 0.0003
200 5 5.39478e-25 0.0003
200 6 2.3105e-25 0.0002
200 7 5.40132e-25 0.0003
200 8 3.44404e-26 0.0001
200 9 5.72273e-25 0.0004
200 10 1.13056e-24 0.0007
200 11 9.90222e-25 0.0006
200 12 8.9755e-25 0.0005
200 13 1.86496e-25 0.0001
200 14 1.74336e-25 0.0001
200 15 1.43316e-24 0.001
200 16 7.1723e-25 0.0004
200 17 1.7499e-25 0.0001
200 18 5.31157e-25 0.0003
200 19 5.59312e-25 0.0004
200 20 0 0
200 21 3.60148e-25 0.0002
200 22 5.49985e-25 0.0004
200 23 2.2533e-25 0.0002
200 24 1.05262e-24 0.0006
200 25 3.88009e-25 0.0003
200 26 1.04989e-24 0.0006
200 27 8.94928e-25 0.0005
200 28 5.58548e-25 0.0004
200 29 5.46894e-25 0.0004
200 30 5.35157e-25 0.0004
200 31 3.70751e-25 0.0003
200 32 8.79187e-25 0.0006
200 33 3.40034e-25 0.0002
200 34 6.86628e-25 0.0004
200 35 3.84958e-25 0.0003
200 36 5.59416e-25 0.0004
200 37 2.40259e-25 0.0004
200 38 8.78399e-25 0.0005
200 39 3.34927e-25 0.0002
200 40 5.50533e-25 0.0004
200 41 8.87089e-25 0.0006
200 42 8.73995e-25 0.0006
200 43 1.99328e-25 0.0002
200 44 4.93567e-25 0.0003
200 45 4.33438e-25 0.0005
200 46 6.86547e-25 0.0004
200 47 4.91498e-25 0.0003
200 48 3.84127e-25 0.0003
200 49 3.25661e-25 0.0002
200 50 8.83641e-25 0.0006
200 51 3.28169e-25 0.0002
200 52 1.36399e-24 0.0009
200 53 3.72106e-25 0.0003
200 54 2.1908e-25 0.0003
200 55 9.05647e-25 0.0006
200 56 1.67422e-25 0.0001
200 57 6.63578e-25 0.0004
200 58 1.37423e-24 0.0009
200 59 5.1672e-25 0.0004
200 60 3.41154e-25 0.0002
200 61 8.25434e-25 0.0005
200 62 7.00417e-25 0.0006
200 63 6.86422e-25 0.0005
200 64 8.29046e-25 0.0005
200 65 5.11407e-25 0.0004
200 66 1.18598e-24 0.001
200 67 1.35024e-24 0.0009
200 68 5.56255e-25 0.0005
200 69 1.28359e-24 0.0008
200 70 7.90653e-25 0.0005
200 71 1.56409e-25 0.0001
200 72 8.47915e-25 0.0006
200 73 4.91324e-25 0.0004
200 74 1.85087e-25 0.0002
200 75 3.32401e-25 0.0002
200 76 1.10007e-24 0.0007
200 77 3.15416e-25 0.0002
200 78 3.30444e-25 0.0002
200 79 5.06478e-25 0.0004
200 80 3.29649e-25 0.0002
200 81 9.9415e-25 0.0007
200 82 4.88006e-25 0.0003
200 83 9.9157e-25 0.0008
200 84 8.07634e-25 0.0006
200 85 7.09644e-25 0.0006
200 86 1.54308e-24 0.0012
200 87 7.73061e-25 0.0005
200 88 8.71444e-25 0.0007
200 89 3.56294e-25 0.0004
200 90 3.52183e-25 0.0003
200 91 7.73711e-25 0.0005
200 92 8.03356e-25 0.0006
200 93 7.5842e-25 0.0005
200 94 6.44697e-25 0.0004
200 95 7.78569e-25 0.0005
200 96 8.20709e-25 0.0006
200 97 4.98609e-25 0.0004
200 98 6.3834e-25 0.0005
200 99 6.21952e-25 0.0004
200 100 8.7053e-25 0.0009
200 101 9.16509e-25 0.0006
200 102 4.91362e-25 0.0004
200 103 5.05718e-25 0.0004
200 104 7.76982e-25 0.0006
200 105 1.25697e-24 0.0009
200 106 3.24309e-25 0.0003
200 107 4.20925e-25 0.0006
200 108 4.46509e-25 0.0003
200 109 7.87244e-25 0.0005
200 110 1.20197e-24 0.0008
200 111 7.27536e-25 0.0006
200 112 4.58433e-25 0.0004
200 113 7.63471e-25 0.0005
200 114 8.81315e-25 0.0006
200 115 6.09941e-25 0.0004
200 116 8.88072e-25 0.0006
200 117 3.22584e-25 0.0003
200 118 7.79145e-25 0.0006
200 119 1.04446e-24 0.0007
