# Energy z_(mm) Energy_Dep Net_Charge
100 0 2.63884e-23 -0.9264
100 1 1.30032e-25 0.0004
100 2 3.02705e-26 0.0001
100 3 1.48582e-25 0.0004
100 4 1.29609e-25 0.0004
100 5 1.06392e-25 0.0003
100 6 1.01815e-25 0.0003
100 7 3.88442e-26 0.0001
100 8 3.75009e-26 0.0001
100 9 1.49919e-25 0.0004
100 10 2.45431e-26 0.0001
100 11 6.71766e-26 0.0002
100 12 2.55093e-25 0.0005
100 13 3.8353e-26 0.0001
100 14 8.42228e-26 0.0003
100 15 5.68208e-26 0.0002
100 16 7.4249e-26 0.0002
100 17 3.02065e-26 0.0001
100 18 6.43047e-26 0.0002
100 19 7.69343e-26 0.0002
100 20 1.03282e-25 0.0003
100 21 2.96678e-26 0.0001
100 22 0 0
100 23 1.03304e-25 0.0003
100 24 0 0
100 25 7.21289e-26 0.0002
100 26 0 0
100 27 1.93011e-25 0.0004
100 28 1.36851e-25 0.0004
100 29 7.09254e-26 0.0002
100 30 3.1862e-26 0.0001
100 31 1.59323e-25 0.0005
100 32 3.15585e-25 0.0007
100 33 1.25531e-25 0.0004
100 34 7.26848e-26 0.0002
100 35 6.82091e-26 0.0002
100 36 2.30154e-25 0.0005
100 37 6.97048e-26 0.0002
100 38 1.77209e-25 0.0005
100 39 9.39549e-26 0.0003
100 40 3.80654e-26 0.0001
100 41 1.20091e-25 0.0004
100 42 2.63298e-26 0.0001
100 43 1.03733e-25 0.0003
100 44 2.78794e-25 0.0005
100 45 9.9703e-26 0.0003
100 46 1.42142e-25 0.0005
100 47 3.62956e-26 0.0001
100 48 1.54288e-25 0.0003
100 49 1.88511e-25 0.0006
100 50 2.39164e-25 0.0007
100 51 1.41451e-25 0.0004
100 52 8.28882e-26 0.0003
100 53 1.38783e-25 0.0003
100 54 9.03701e-26 0.0003
100 55 1.74074e-25 0.0005
100 56 1.68831e-25 0.0006
100 57 1.2739e-25 0.0004
100 58 0 0
100 59 8.84287e-26 0.0003
100 60 6.8875e-26 0.0002
100 61 7.69754e-26 0.0003
100 62 1.97951e-25 0.0006
100 63 1.59393e-25 0.0005
100 64 2.8663e-26 0.0001
100 65 9.7594e-26 0.0003
100 66 1.60123e-25 0.0005
100 67 9.5752e-26 0.0003
100 68 1.97172e-25 0.0006
100 69 1.29223e-25 0.0004
100 70 5.45276e-26 0.0002
100 71 1.15551e-25 0.0004
100 72 1.9723e-25 0.0006
100 73 1.51382e-25 0.0005
100 74 8.21634e-26 0.0003
100 75 1.64998e-25 0.0005
100 76 1.51162e-25 0.0005
100 77 1.26278e-25 0.0004
100 78 8.97231e-26 0.0003
100 79 9.49842e-26 0.0003
100 80 2.2416e-25 0.0007
100 81 6.63649e-26 0.0002
100 82 5.30142e-26 0.0002
100 83 3.21403e-26 0.0001
100 84 1.18064e-25 0.0004
100 85 3.02944e-26 0.0001
100 86 8.95597e-26 0.0003
100 87 2.29074e-26 0.0001
100 88 2.45884e-25 0.0008
100 89 3.39647e-25 0.0007
100 90 4.86834e-26 0.0002
100 91 5.8857e-26 0.0002
100 92 5.85738e-26 0.0002
100 93 1.51986e-25 0.0003
100 94 1.4848e-25 0.0005
100 95 2.55521e-26 0.0001
100 96 2.66124e-25 0.0007
100 97 2.75726e-25 0.0008
100 98 9.07752e-26 0.0003
100 99 6.83125e-26 0.0002
100 100 1.12245e-25 0.0004
100 101 2.80376e-25 0.0006
100 102 5.76316e-26 0.0002
100 103 6.83005e-26 0.0002
100 104 1.00157e-25 0.0004
100 105 1.41443e-25 0.0005
100 106 1.85262e-25 0.0006
100 107 2.02263e-25 0.0005
100 108 1.65455e-25 0.0004
100 109 1.27238e-25 0.0005
100 110 4.90635e-26 0.0002
100 111 1.48369e-25 0.0005
100 112 1.35732e-25 0.0005
100 113 2.29607e-25 0.0008
100 114 1.88674e-25 0.0004
100 115 9.24004e-26 0.0003
100 116 8.24456e-26 0.0003
100 117 2.00985e-25 0.0007
100 118 1.1239e-25 0.0004
100 119 7.30086e-26 0.0003
100 120 1.36138e-25 0.0005
100 121 1.48427e-25 0.0005
100 122 8.34596e-26 0.0003
100 123 1.3325e-25 0.0005
100 124 1.09518e-25 0.0004
100 125 7.50683e-26 0.0003
100 126 5.75906e-26 0.0002
100 127 1.30682e-25 0.0005
100 128 1.08523e-25 0.0004
100 129 7.65273e-26 0.0003
100 130 1.13422e-25 0.0004
100 131 1.71644e-25 0.0006
100 132 1.00556e-25 0.0004
100 133 2.56485e-25 0.0008
100 134 1.65418e-25 0.0006
100 135 3.36141e-26 0.0001
100 136 1.63766e-25 0.0003
100 137 1.54686e-25 0.0006
100 138 1.30678e-25 0.0005
100 139 1.37289e-25 0.0005
100 140 1.37324e-25 0.0005
100 141 2.40854e-25 0.0007
100 142 1.80559e-25 0.0007
100 143 1.84685e-25 0.0007
100 144 1.48365e-25 0.0005
100 145 3.74602e-25 0.0011
100 146 9.29431e-26 0.0003
100 147 1.08531e-25 0.0004
100 148 1.68639e-25 0.0006
100 149 8.79267e-26 0.0003
100 150 1.18828e-25 0.0004
100 151 2.24459e-25 0.0008
100 152 2.33494e-25 0.0008
100 153 5.53479e-26 0.0002
