# Energy z_(mm) Energy_Dep Net_Charge
4000 0 4.40956e-22 -0.9326
4000 1 3.65391e-24 0.0006
4000 2 1.59551e-24 0.0002
4000 3 1.46828e-24 0.0002
4000 4 7.38227e-25 0.0001
4000 5 1.54325e-24 0.0002
4000 6 1.35568e-24 0.0002
4000 7 4.78513e-24 0.0007
4000 8 2.3298e-24 0.0004
4000 9 2.8628e-24 0.0004
4000 10 2.3143e-24 0.0003
4000 11 7.58025e-25 0.0001
4000 12 2.09191e-24 0.0003
4000 13 1.27773e-24 0.0002
4000 14 2.70557e-24 0.0004
4000 15 3.34384e-24 0.0005
4000 16 0 0
4000 17 9.66435e-25 0.0002
4000 18 1.15495e-24 0.0002
4000 19 6.53725e-25 0.0001
4000 20 2.09234e-24 0.0003
4000 21 1.50608e-24 0.0002
4000 22 1.58017e-24 0.0002
4000 23 4.45343e-24 0.0006
4000 24 2.18484e-24 0.0004
4000 25 1.55465e-24 0.0002
4000 26 3.27352e-24 0.0005
4000 27 2.02755e-24 0.0003
4000 28 1.77865e-24 0.0003
4000 29 7.49086e-25 0.0001
4000 30 1.17327e-24 0.0002
4000 31 4.39918e-24 0.0006
4000 32 2.21754e-24 0.0003
4000 33 6.17057e-25 0.0001
4000 34 1.47667e-24 0.0002
4000 35 2.46354e-24 0.0004
4000 36 1.06915e-24 0.0003
4000 37 2.14106e-24 0.0003
4000 38 0 0
4000 39 3.4445e-24 0.0005
4000 40 0 0
4000 41 3.22234e-24 0.0005
4000 42 1.4237e-24 0.0002
4000 43 1.4722e-24 0.0003
4000 44 1.41573e-24 0.0002
4000 45 1.29507e-24 0.0002
4000 46 2.04128e-24 0.0003
4000 47 1.43183e-24 0.0002
4000 48 7.35689e-25 0.0001
4000 49 6.75422e-25 0.0001
4000 50 1.29605e-24 0.0002
4000 51 7.36372e-25 0.0001
4000 52 0 0
4000 53 6.71726e-25 0.0001
4000 54 1.39491e-24 0.0002
4000 55 1.51125e-24 0.0002
4000 56 1.60794e-24 0.0003
4000 57 0 0
4000 58 1.35428e-24 0.0002
4000 59 1.94917e-24 0.0003
4000 60 2.1003e-24 0.0003
4000 61 1.77164e-24 0.0003
4000 62 2.21496e-24 0.0004
4000 63 3.30925e-25 0.0001
4000 64 1.3319e-24 0.0002
4000 65 3.44683e-24 0.0006
4000 66 5.71383e-25 0.0001
4000 67 1.246e-24 0.0002
4000 68 1.40039e-24 0.0002
4000 69 2.06841e-24 0.0003
4000 70 1.34435e-24 0.0002
4000 71 0 0
4000 72 5.13966e-25 0.0001
4000 73 1.97567e-24 0.0003
4000 74 2.42225e-24 0.0004
4000 75 1.61503e-24 0.0003
4000 76 2.54792e-24 0.0004
4000 77 2.00491e-24 0.0003
4000 78 1.84727e-24 0.0003
4000 79 3.01114e-24 0.0005
4000 80 2.69651e-24 0.0005
4000 81 5.37852e-25 0.0001
4000 82 0 0
4000 83 6.34395e-25 0.0001
4000 84 1.4491e-24 0.0003
4000 85 8.54819e-25 0.0002
4000 86 6.50344e-25 0.0001
4000 87 2.75193e-24 0.0004
4000 88 0 0
4000 89 2.04165e-24 0.0003
4000 90 1.80215e-24 0.0003
