# Energy z_(mm) Energy_Dep Net_Charge
1000 0 3.16097e-22 -0.9041
1000 1 1.15245e-24 0.0003
1000 2 1.11088e-24 0.0003
1000 3 1.29144e-24 0.0004
1000 4 6.19827e-25 0.0002
1000 5 6.86948e-25 0.0002
1000 6 1.09556e-24 0.0003
1000 7 2.39834e-24 0.0006
1000 8 2.66643e-24 0.0007
1000 9 4.26392e-25 0.0001
1000 10 7.82064e-25 0.0003
1000 11 1.17713e-24 0.0003
1000 12 8.30882e-25 0.0004
1000 13 1.81056e-24 0.0005
1000 14 7.91149e-25 0.0002
1000 15 7.8476e-25 0.0002
1000 16 6.95433e-25 0.0002
1000 17 7.61914e-25 0.0002
1000 18 1.0864e-24 0.0003
1000 19 4.24054e-25 0.0002
1000 20 7.97538e-25 0.0002
1000 21 1.12241e-24 0.0003
1000 22 7.08262e-25 0.0002
1000 23 0 0
1000 24 1.21092e-24 0.0006
1000 25 2.23019e-24 0.0006
1000 26 3.97457e-25 0.0001
1000 27 1.37294e-24 0.0004
1000 28 1.38763e-24 0.0005
1000 29 1.49261e-24 0.0004
1000 30 1.17866e-24 0.0003
1000 31 2.16456e-24 0.0006
1000 32 1.07885e-24 0.0004
1000 33 7.60005e-25 0.0002
1000 34 7.63631e-25 0.0002
1000 35 1.05768e-24 0.0003
1000 36 1.61082e-24 0.0005
1000 37 2.24197e-25 0.0001
1000 38 7.49456e-25 0.0002
1000 39 4.01328e-25 0.0002
1000 40 1.80985e-24 0.0006
1000 41 1.59391e-24 0.0006
1000 42 1.68044e-24 0.0005
1000 43 3.38401e-25 0.0001
1000 44 1.70926e-24 0.0005
1000 45 2.22831e-24 0.0007
1000 46 8.19176e-25 0.0003
1000 47 3.50673e-25 0.0001
1000 48 1.05205e-24 0.0003
1000 49 6.89228e-25 0.0002
1000 50 3.67984e-25 0.0001
1000 51 1.81965e-24 0.0005
1000 52 1.01067e-24 0.0004
1000 53 2.00777e-24 0.0009
1000 54 1.89921e-24 0.0005
1000 55 1.75132e-24 0.0005
1000 56 1.11013e-24 0.0003
1000 57 1.07691e-24 0.0003
1000 58 5.65297e-25 0.0002
1000 59 7.23231e-25 0.0002
1000 60 9.56056e-25 0.0003
1000 61 1.55208e-24 0.0005
1000 62 1.1101e-24 0.0004
1000 63 1.44163e-24 0.0004
1000 64 9.37887e-25 0.0003
1000 65 2.30844e-24 0.0007
1000 66 9.02861e-25 0.0003
1000 67 1.08179e-24 0.0003
1000 68 1.11419e-24 0.0003
1000 69 2.44614e-24 0.0008
1000 70 3.35686e-25 0.0001
1000 71 1.50498e-24 0.0005
1000 72 3.0808e-24 0.0009
1000 73 1.27715e-24 0.0004
1000 74 7.07792e-25 0.0002
1000 75 6.00474e-25 0.0002
1000 76 1.48661e-24 0.0005
1000 77 1.79702e-24 0.0005
1000 78 1.01988e-24 0.0003
1000 79 2.82995e-26 0.0001
1000 80 1.27229e-24 0.0004
1000 81 3.61266e-25 0.0001
1000 82 1.9361e-25 0.0001
1000 83 3.30682e-25 0.0001
1000 84 3.20893e-24 0.001
1000 85 3.04426e-24 0.001
1000 86 2.04518e-24 0.0007
1000 87 1.73746e-24 0.0005
1000 88 7.13235e-25 0.0002
1000 89 1.72192e-24 0.0005
1000 90 1.25549e-24 0.0004
1000 91 2.44012e-24 0.0008
1000 92 1.67019e-24 0.0005
1000 93 8.61503e-25 0.0003
1000 94 1.27012e-24 0.0004
1000 95 0 0
1000 96 2.01016e-25 0.0001
1000 97 1.29462e-24 0.0004
1000 98 2.75158e-24 0.0008
1000 99 1.31496e-24 0.0004
1000 100 1.64968e-24 0.0005
1000 101 1.31957e-24 0.0005
1000 102 1.95587e-24 0.0006
1000 103 1.55026e-24 0.0005
1000 104 1.79141e-24 0.0006
1000 105 1.5682e-24 0.0007
1000 106 1.32022e-24 0.0004
1000 107 1.93973e-24 0.0006
1000 108 5.34591e-25 0.0003
1000 109 1.57301e-24 0.0005
1000 110 2.29675e-24 0.0008
1000 111 1.23568e-24 0.0004
1000 112 2.48773e-24 0.0008
1000 113 1.34385e-24 0.0004
1000 114 8.90394e-25 0.0004
1000 115 1.7034e-24 0.0007
1000 116 7.10218e-25 0.0003
1000 117 1.59984e-24 0.0005
1000 118 1.18797e-24 0.0005
1000 119 2.02987e-24 0.0006
1000 120 1.27835e-24 0.0004
1000 121 2.13204e-24 0.0007
1000 122 2.25616e-24 0.0007
1000 123 1.32316e-24 0.0004
1000 124 2.16999e-24 0.0007
1000 125 1.47914e-24 0.0005
1000 126 6.09104e-25 0.0003
1000 127 2.14282e-24 0.0009
1000 128 1.88294e-24 0.0006
1000 129 1.78203e-24 0.0006
1000 130 2.08832e-24 0.0007
1000 131 1.70826e-24 0.0006
1000 132 6.57858e-25 0.0003
1000 133 1.35383e-24 0.0005
1000 134 1.55876e-24 0.0005
1000 135 1.60444e-24 0.0006
1000 136 9.7208e-25 0.0004
1000 137 1.60222e-24 0.0005
1000 138 1.55501e-24 0.0005
1000 139 2.85804e-24 0.0012
1000 140 1.44128e-24 0.0005
1000 141 8.489e-25 0.0003
1000 142 1.52601e-24 0.0005
1000 143 1.48318e-24 0.0005
1000 144 9.12955e-25 0.0003
1000 145 1.80409e-24 0.0008
1000 146 2.04647e-24 0.0008
1000 147 1.34226e-24 0.0006
1000 148 1.99334e-24 0.0007
1000 149 3.07121e-24 0.0012
1000 150 2.10897e-24 0.0007
1000 151 8.90968e-25 0.0004
1000 152 1.18621e-24 0.0004
1000 153 1.41583e-24 0.0005
1000 154 1.47077e-24 0.0008
1000 155 1.93654e-24 0.0007
1000 156 2.15964e-24 0.0007
1000 157 2.48946e-24 0.0009
1000 158 3.67374e-24 0.0013
1000 159 5.94638e-25 0.0002
1000 160 1.1288e-24 0.0004
1000 161 1.56642e-24 0.0007
1000 162 1.4418e-24 0.0007
1000 163 2.87668e-24 0.0012
1000 164 1.09945e-24 0.0004
1000 165 5.58202e-25 0.0002
1000 166 1.09067e-24 0.0004
1000 167 8.57087e-25 0.0003
1000 168 1.16314e-24 0.0005
1000 169 5.06345e-25 0.0002
1000 170 2.56681e-24 0.0009
1000 171 1.91699e-24 0.0007
1000 172 3.38882e-24 0.0012
1000 173 1.23549e-24 0.0004
1000 174 2.06964e-24 0.0008
1000 175 2.24065e-24 0.0008
1000 176 1.93606e-24 0.0007
1000 177 1.45907e-24 0.0006
1000 178 2.7443e-24 0.0009
1000 179 2.3387e-24 0.0009
1000 180 2.30424e-24 0.0008
1000 181 2.3875e-24 0.0011
1000 182 1.80658e-24 0.0006
1000 183 2.05107e-24 0.0008
1000 184 1.61746e-24 0.0007
1000 185 1.32567e-24 0.0005
1000 186 2.62155e-24 0.0011
1000 187 2.16643e-24 0.0008
1000 188 1.98954e-24 0.0008
1000 189 1.87212e-24 0.0008
1000 190 2.48415e-24 0.0009
1000 191 2.7059e-24 0.001
1000 192 7.84439e-25 0.0003
1000 193 2.42382e-24 0.001
1000 194 1.36959e-24 0.0008
1000 195 2.64105e-24 0.0009
1000 196 1.18386e-24 0.0004
1000 197 1.43146e-24 0.0005
1000 198 1.39218e-24 0.0005
1000 199 5.65608e-25 0.0002
1000 200 1.92234e-24 0.0007
1000 201 5.51776e-25 0.0002
1000 202 2.31922e-24 0.0008
1000 203 2.03703e-24 0.0009
1000 204 3.70231e-24 0.0014
1000 205 2.23555e-24 0.0008
1000 206 1.40318e-24 0.0005
1000 207 1.30487e-24 0.0005
1000 208 1.10549e-24 0.0006
1000 209 8.17816e-25 0.0003
1000 210 1.85843e-24 0.0007
1000 211 7.94417e-25 0.0003
1000 212 3.06951e-24 0.0011
1000 213 1.37978e-24 0.0007
1000 214 3.75885e-24 0.0015
1000 215 2.27225e-24 0.0013
1000 216 1.87167e-24 0.0007
1000 217 1.58271e-24 0.0006
1000 218 2.1858e-24 0.0008
1000 219 1.0927e-24 0.0004
1000 220 2.5215e-24 0.001
1000 221 2.11921e-24 0.0009
1000 222 1.21502e-24 0.0005
1000 223 1.64044e-24 0.0007
1000 224 1.83541e-24 0.0007
1000 225 8.14387e-25 0.0004
1000 226 2.8247e-24 0.0011
1000 227 2.3139e-24 0.001
1000 228 1.64323e-24 0.0008
1000 229 1.91408e-24 0.0009
1000 230 2.82242e-24 0.0011
1000 231 2.52512e-24 0.001
1000 232 1.84918e-24 0.0008
1000 233 2.91643e-24 0.0013
1000 234 3.3154e-24 0.0014
1000 235 2.09463e-24 0.0012
1000 236 1.72803e-24 0.0007
1000 237 1.37186e-24 0.0006
1000 238 2.42428e-24 0.001
1000 239 1.57677e-24 0.0006
1000 240 2.26243e-24 0.0009
1000 241 1.34736e-24 0.0005
1000 242 1.3477e-24 0.0006
1000 243 1.73805e-24 0.0008
1000 244 2.57842e-24 0.001
1000 245 2.63662e-24 0.001
1000 246 3.41295e-24 0.0014
1000 247 2.5178e-24 0.001
1000 248 2.76555e-24 0.0013
1000 249 2.03825e-24 0.0011
1000 250 1.92863e-24 0.0008
1000 251 1.6023e-24 0.0007
1000 252 2.58248e-24 0.001
1000 253 1.421e-24 0.0006
1000 254 1.64633e-24 0.0008
1000 255 2.69938e-24 0.0011
1000 256 2.08395e-24 0.0009
1000 257 1.54326e-24 0.0007
1000 258 2.67093e-24 0.0011
1000 259 7.35478e-25 0.0003
1000 260 2.7359e-24 0.0013
1000 261 8.70166e-25 0.0005
1000 262 1.00754e-24 0.0005
1000 263 2.89995e-24 0.0012
1000 264 7.86026e-25 0.0003
1000 265 2.26392e-24 0.001
1000 266 2.42879e-24 0.0011
1000 267 2.18311e-24 0.0011
1000 268 1.76496e-24 0.0007
1000 269 1.00907e-24 0.0004
1000 270 1.07987e-24 0.0005
