# Energy z_(mm) Energy_Dep Net_Charge
50 0 2.46526e-23 -0.9269
50 1 1.01029e-25 0.0003
50 2 9.91224e-26 0.0003
50 3 3.3154e-26 0.0001
50 4 1.08255e-25 0.0003
50 5 6.57223e-26 0.0002
50 6 1.66924e-25 0.0004
50 7 3.53255e-26 0.0001
50 8 3.92477e-26 0.0001
50 9 0 0
50 10 6.89195e-26 0.0002
50 11 1.47834e-25 0.0003
50 12 6.36166e-26 0.0002
50 13 0 0
50 14 2.75422e-26 0.0001
50 15 7.53868e-26 0.0002
50 16 7.36939e-26 0.0002
50 17 1.49651e-25 0.0003
50 18 1.15849e-25 0.0002
50 19 1.29221e-25 0.0004
50 20 1.41732e-25 0.0004
50 21 7.17888e-26 0.0002
50 22 5.70092e-26 0.0002
50 23 2.09135e-25 0.0006
50 24 2.76986e-25 0.0008
50 25 7.3584e-26 0.0002
50 26 1.13668e-25 0.0003
50 27 2.60073e-26 0.0001
50 28 6.2063e-26 0.0002
50 29 1.006e-25 0.0003
50 30 9.06029e-26 0.0003
50 31 3.36935e-26 0.0001
50 32 6.71511e-26 0.0002
50 33 1.28403e-25 0.0004
50 34 6.50246e-26 0.0002
50 35 3.56691e-26 0.0001
50 36 5.71953e-26 0.0002
50 37 9.56816e-26 0.0003
50 38 6.20206e-26 0.0002
50 39 1.41852e-25 0.0004
50 40 6.67345e-26 0.0002
50 41 6.27127e-26 0.0002
50 42 2.85282e-26 0.0001
50 43 1.68122e-25 0.0005
50 44 3.29533e-26 0.0001
50 45 0 0
50 46 6.87425e-26 0.0002
50 47 5.28758e-26 0.0002
50 48 6.21128e-26 0.0002
50 49 3.16679e-26 0.0001
50 50 1.72285e-25 0.0006
50 51 3.50793e-26 0.0001
50 52 9.41238e-26 0.0003
50 53 1.11276e-25 0.0002
50 54 1.50426e-25 0.0005
50 55 9.00232e-26 0.0003
50 56 1.23081e-25 0.0004
50 57 9.76494e-26 0.0003
50 58 1.60183e-25 0.0005
50 59 1.95773e-25 0.0006
50 60 1.2705e-25 0.0004
50 61 5.64999e-26 0.0002
50 62 1.33859e-25 0.0004
50 63 1.69275e-25 0.0004
50 64 1.50137e-25 0.0005
50 65 1.88954e-25 0.0006
50 66 1.54499e-25 0.0005
50 67 9.9202e-26 0.0003
50 68 3.42084e-26 0.0001
50 69 1.75795e-25 0.0005
50 70 2.45552e-25 0.0005
50 71 1.05284e-25 0.0004
50 72 1.01807e-25 0.0003
50 73 6.55225e-26 0.0002
50 74 1.53822e-25 0.0005
50 75 1.93191e-25 0.0006
50 76 7.12852e-26 0.0002
50 77 8.39695e-26 0.0003
50 78 5.71604e-26 0.0002
50 79 3.84831e-26 0.0001
50 80 8.3298e-26 0.0003
50 81 3.85973e-26 0.0001
50 82 8.80513e-26 0.0003
50 83 1.28703e-25 0.0004
50 84 2.78091e-26 0.0001
50 85 7.41242e-26 0.0002
50 86 8.32093e-26 0.0003
50 87 7.74979e-26 0.0003
50 88 1.11068e-25 0.0004
50 89 8.14602e-26 0.0003
50 90 0 0
50 91 6.39157e-26 0.0002
50 92 1.03474e-25 0.0004
50 93 1.51871e-25 0.0005
50 94 6.68175e-26 0.0002
50 95 1.52738e-25 0.0005
50 96 7.59831e-26 0.0001
50 97 1.81523e-25 0.0005
50 98 1.89617e-25 0.0006
50 99 1.19857e-25 0.0004
50 100 1.26369e-25 0.0004
50 101 2.40443e-25 0.0009
50 102 9.50997e-26 0.0003
50 103 9.7643e-26 0.0002
50 104 1.04147e-25 0.0004
50 105 8.41102e-26 0.0003
50 106 9.1108e-26 0.0003
50 107 1.04523e-25 0.0004
50 108 1.04775e-25 0.0004
50 109 8.41893e-26 0.0003
50 110 1.87154e-25 0.0006
50 111 5.84409e-26 0.0002
50 112 8.39861e-26 0.0003
50 113 2.24874e-25 0.0008
50 114 9.71077e-26 0.0002
50 115 1.3925e-25 0.0005
50 116 1.44643e-25 0.0005
50 117 8.77284e-26 0.0003
50 118 1.23896e-25 0.0004
50 119 9.04951e-26 0.0003
50 120 1.10972e-25 0.0004
50 121 1.70802e-25 0.0006
50 122 1.99208e-25 0.0007
50 123 4.35085e-26 0.0002
50 124 1.85151e-25 0.0006
50 125 2.16681e-26 0.0001
50 126 1.18886e-25 0.0004
50 127 5.47295e-26 0.0002
50 128 6.97933e-26 0.0003
50 129 2.04605e-25 0.0007
50 130 1.03215e-25 0.0004
50 131 8.33428e-26 0.0003
50 132 2.23794e-25 0.0008
50 133 1.3771e-25 0.0005
50 134 1.39411e-25 0.0005
50 135 5.46802e-26 0.0002
50 136 3.16419e-25 0.0009
50 137 1.51019e-25 0.0005
50 138 1.05896e-25 0.0004
50 139 5.71674e-26 0.0002
50 140 1.13875e-25 0.0004
50 141 1.64092e-25 0.0006
50 142 1.75419e-25 0.0006
50 143 1.48633e-25 0.0006
50 144 1.07533e-25 0.0004
50 145 9.89085e-26 0.0004
50 146 1.00124e-25 0.0004
50 147 1.62428e-25 0.0006
50 148 1.08699e-25 0.0004
50 149 1.92255e-25 0.0007
50 150 8.0509e-26 0.0003
50 151 2.38346e-25 0.0008
50 152 7.91493e-26 0.0003
50 153 2.08839e-25 0.0008
50 154 3.07384e-25 0.0011
50 155 1.64975e-25 0.0005
50 156 7.53107e-26 0.0002
50 157 6.22219e-26 0.0002
50 158 2.65222e-25 0.0009
50 159 1.50832e-25 0.0006
50 160 1.4232e-25 0.0006
50 161 8.66573e-26 0.0003
50 162 7.7712e-26 0.0003
50 163 2.40912e-25 0.0009
50 164 7.38078e-26 0.0003
50 165 2.15436e-25 0.0009
50 166 1.49678e-25 0.0004
50 167 2.82271e-25 0.0008
50 168 1.33156e-25 0.0005
50 169 2.63894e-26 0.0001
50 170 1.78181e-25 0.0006
50 171 2.7468e-26 0.0001
50 172 9.76348e-26 0.0004
50 173 1.39248e-25 0.0004
50 174 2.54413e-25 0.0007
50 175 1.4571e-25 0.0006
50 176 1.56603e-25 0.0006
50 177 4.69709e-26 0.0002
50 178 2.49343e-26 0.0001
50 179 1.42028e-25 0.0006
50 180 2.13252e-25 0.0008
50 181 1.27863e-25 0.0005
50 182 1.57071e-25 0.0007
50 183 1.52241e-25 0.0004
50 184 1.48296e-25 0.0006
50 185 8.12869e-26 0.0003
50 186 3.34069e-25 0.0012
50 187 1.42696e-25 0.0006
50 188 1.36107e-25 0.0006
50 189 1.89559e-25 0.0006
50 190 1.47276e-25 0.0006
50 191 1.46175e-25 0.0006
50 192 1.4761e-25 0.0006
50 193 5.42483e-26 0.0002
50 194 1.44657e-25 0.0005
50 195 1.90292e-25 0.0007
50 196 7.24234e-26 0.0003
50 197 1.83934e-25 0.0007
50 198 1.26567e-25 0.0005
50 199 1.3537e-25 0.0005
50 200 1.83973e-25 0.0007
50 201 1.62157e-25 0.0007
50 202 2.48102e-25 0.0009
50 203 2.66445e-25 0.0008
50 204 1.4362e-25 0.0006
50 205 2.07379e-25 0.0009
50 206 5.01131e-26 0.0002
50 207 2.036e-25 0.0008
50 208 1.82222e-25 0.0007
50 209 1.49174e-25 0.0005
50 210 1.17566e-25 0.0005
50 211 1.92868e-25 0.0007
50 212 1.20001e-25 0.0005
50 213 1.784e-25 0.0007
50 214 3.3485e-25 0.0014
50 215 1.93e-25 0.0008
50 216 3.99787e-25 0.0016
50 217 4.93128e-26 0.0002
50 218 1.75958e-25 0.0007
50 219 1.36811e-25 0.0004
50 220 3.23275e-25 0.0014
50 221 2.29481e-25 0.001
50 222 2.2419e-25 0.0009
50 223 2.03529e-25 0.0009
50 224 1.11861e-25 0.0005
50 225 9.80952e-26 0.0004
50 226 1.63945e-25 0.0007
50 227 2.07295e-25 0.0009
50 228 1.36996e-25 0.0006
50 229 2.1638e-25 0.0009
50 230 2.19335e-25 0.0009
50 231 2.39185e-25 0.0009
50 232 2.27871e-25 0.0011
50 233 1.07361e-25 0.0004
50 234 1.55438e-25 0.0007
50 235 1.93197e-25 0.0008
50 236 2.02332e-25 0.0007
50 237 2.21388e-25 0.0009
50 238 1.94462e-25 0.0008
50 239 1.52573e-25 0.0007
50 240 1.10676e-25 0.0005
50 241 2.89998e-25 0.0012
50 242 1.41383e-25 0.0006
50 243 1.31656e-25 0.0006
50 244 1.33786e-25 0.0004
50 245 1.71912e-25 0.0008
50 246 2.80571e-25 0.0013
50 247 1.11721e-25 0.0005
50 248 1.50071e-25 0.0006
50 249 3.35884e-25 0.0016
50 250 2.52892e-25 0.001
50 251 1.68062e-25 0.0007
50 252 2.01301e-25 0.001
50 253 2.10213e-25 0.001
50 254 3.0693e-25 0.0014
50 255 2.68151e-25 0.0013
50 256 1.61082e-25 0.0008
50 257 1.4889e-25 0.0007
50 258 1.51527e-25 0.0007
50 259 1.14572e-25 0.0005
50 260 2.01481e-25 0.0008
50 261 3.70227e-25 0.0015
50 262 7.96803e-26 0.0004
50 263 1.64052e-25 0.0007
50 264 2.14724e-25 0.0009
50 265 2.52477e-25 0.0011
50 266 7.8658e-26 0.0004
50 267 3.40086e-25 0.0015
50 268 2.20982e-25 0.001
50 269 2.15901e-25 0.001
50 270 1.15102e-25 0.0005
50 271 2.46523e-25 0.0012
50 272 2.02671e-25 0.001
50 273 3.61758e-25 0.0017
50 274 3.76683e-25 0.0017
50 275 2.89981e-25 0.0014
50 276 2.37275e-25 0.001
50 277 1.46487e-25 0.0006
50 278 2.11388e-25 0.001
50 279 2.12526e-25 0.0011
50 280 1.31366e-25 0.0006
50 281 2.63675e-25 0.0013
50 282 2.94543e-25 0.0012
50 283 2.10741e-25 0.001
50 284 1.73808e-25 0.0008
50 285 1.97326e-25 0.0009
50 286 1.8725e-25 0.001
50 287 9.14146e-26 0.0004
50 288 2.3351e-25 0.0011
50 289 1.41072e-25 0.0007
50 290 2.57147e-25 0.0012
50 291 3.06255e-25 0.0014
50 292 2.75416e-25 0.0013
50 293 3.56724e-25 0.0018
50 294 2.03792e-25 0.001
50 295 3.11486e-25 0.0013
50 296 1.34742e-25 0.0007
50 297 2.44321e-25 0.0012
50 298 2.77943e-25 0.0012
50 299 1.77653e-25 0.0009
50 300 1.83491e-25 0.0008
50 301 1.84289e-25 0.0009
50 302 2.18928e-25 0.001
50 303 1.25383e-25 0.0006
50 304 2.98274e-25 0.0014
50 305 2.81604e-25 0.0012
50 306 2.69109e-25 0.0013
50 307 3.28684e-25 0.0016
50 308 2.27908e-25 0.0011
