# Energy z_(mm) Energy_Dep Net_Charge
20 0 2.44437e-23 -0.9252
20 1 9.09417e-26 0.0002
20 2 3.83863e-26 0.0001
20 3 6.42089e-26 0.0002
20 4 1.24166e-25 0.0003
20 5 6.84509e-26 0.0002
20 6 6.01314e-26 0.0002
20 7 1.74339e-25 0.0005
20 8 1.31651e-25 0.0004
20 9 1.40192e-25 0.0004
20 10 1.01086e-25 0.0003
20 11 0 0
20 12 1.15939e-25 0.0003
20 13 5.88933e-26 0.0002
20 14 6.70368e-26 0.0002
20 15 9.82638e-26 0.0003
20 16 1.09708e-25 0.0003
20 17 0 0
20 18 6.80948e-26 0.0002
20 19 7.49376e-26 0.0002
20 20 9.02716e-26 0.0003
20 21 1.02874e-25 0.0003
20 22 7.04926e-26 0.0002
20 23 3.44346e-26 0.0001
20 24 5.47266e-26 0.0002
20 25 1.76394e-25 0.0005
20 26 8.38433e-26 0.0002
20 27 8.93264e-26 0.0003
20 28 6.90635e-26 0.0002
20 29 6.19344e-26 0.0002
20 30 1.34464e-25 0.0004
20 31 7.06146e-26 0.0003
20 32 1.20391e-25 0.0004
20 33 6.82176e-26 0.0002
20 34 1.58772e-25 0.0005
20 35 2.4234e-25 0.0007
20 36 9.33259e-26 0.0003
20 37 6.23916e-26 0.0002
20 38 1.29852e-25 0.0004
20 39 3.61337e-26 0.0001
20 40 1.62156e-25 0.0005
20 41 7.45354e-26 0.0002
20 42 5.15334e-26 0.0002
20 43 0 0
20 44 2.38664e-25 0.0007
20 45 1.59224e-25 0.0005
20 46 1.52733e-25 0.0005
20 47 5.74721e-26 0.0002
20 48 6.99748e-26 0.0002
20 49 6.80449e-26 0.0002
20 50 6.36987e-26 0.0002
20 51 1.25156e-25 0.0004
20 52 7.3344e-26 0.0002
20 53 3.48878e-26 0.0001
20 54 6.88703e-26 0.0002
20 55 2.23091e-25 0.0007
20 56 1.22402e-25 0.0004
20 57 8.78694e-26 0.0003
20 58 6.36918e-26 0.0002
20 59 1.21526e-25 0.0004
20 60 2.01759e-25 0.0006
20 61 5.98663e-26 0.0002
20 62 2.81686e-26 0.0001
20 63 1.64118e-25 0.0004
20 64 8.96498e-26 0.0003
20 65 8.74928e-26 0.0003
20 66 2.46851e-26 0.0001
20 67 2.1793e-25 0.0007
20 68 1.47984e-25 0.0004
20 69 1.3604e-25 0.0004
20 70 2.34356e-26 0.0001
20 71 2.0962e-25 0.0006
20 72 7.04283e-26 0.0002
20 73 1.55734e-25 0.0005
20 74 1.27461e-25 0.0004
20 75 2.02268e-25 0.0006
20 76 1.09617e-25 0.0004
20 77 1.57786e-25 0.0005
20 78 3.1553e-26 0.0001
20 79 8.80036e-26 0.0003
20 80 6.54873e-26 0.0002
20 81 1.1145e-25 0.0004
20 82 2.99591e-26 0.0001
20 83 3.68483e-26 0.0001
20 84 1.10659e-25 0.0003
20 85 6.81835e-26 0.0002
20 86 6.6373e-26 0.0002
20 87 1.52519e-25 0.0005
20 88 1.12721e-25 0.0004
20 89 1.42042e-25 0.0005
20 90 1.55645e-25 0.0005
20 91 2.2892e-25 0.0007
20 92 1.60191e-25 0.0006
20 93 3.30069e-25 0.0011
20 94 2.35902e-25 0.0008
20 95 1.79596e-25 0.0005
20 96 2.08947e-25 0.0007
20 97 1.73624e-25 0.0006
20 98 8.57342e-26 0.0004
20 99 6.21317e-26 0.0002
20 100 2.15546e-25 0.0007
20 101 2.35644e-25 0.0008
