# Gamma Count and Particle Production Probabilities 
# 0.066 gammas per event 
# [ p \ n ] production probability matrix per event 
0.961 0 0 0 0 0 0 
0.008 0 0 0 0 0 0 
0.005 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
# Gamma Count and Particle Production Probabilities 
# 0.066 gammas per event 
# [ p \ n ] production probability matrix per event 
0.984 0 0 0 0 0 0 
0.008 0 0 0 0 0 0 
0.005 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
# Gamma Count and Particle Production Probabilities 
# 0.066 gammas per event 
# [ p \ n ] production probability matrix per event 
0.986 0 0 0 0 0 0 
0.008 0 0 0 0 0 0 
0.005 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
# Gamma Count and Particle Production Probabilities 
# 0.066 gammas per event 
# [ p \ n ] production probability matrix per event 
0.987 0 0 0 0 0 0 
0.008 0 0 0 0 0 0 
0.005 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
0 0 0 0 0 0 0 
