# Energy z_(mm) Energy_Dep Net_Charge
10 0 2.09331e-23 -0.9306
10 1 1.56693e-25 0.0005
10 2 0 0
10 3 1.58088e-25 0.0005
10 4 5.91366e-26 0.0002
10 5 1.26516e-25 0.0004
10 6 0 0
10 7 0 0
10 8 6.64595e-26 0.0002
10 9 1.02928e-25 0.0003
10 10 9.84741e-26 0.0003
10 11 1.62069e-25 0.0005
10 12 9.83389e-26 0.0003
10 13 3.7195e-26 0.0001
10 14 6.37062e-26 0.0002
10 15 5.71806e-26 0.0002
10 16 6.61921e-26 0.0002
10 17 6.05681e-26 0.0002
10 18 1.95562e-25 0.0006
10 19 0 0
10 20 2.70267e-26 0.0001
10 21 5.60478e-26 0.0002
10 22 7.44331e-26 0.0002
10 23 4.83454e-26 0.0002
10 24 5.19717e-26 0.0002
10 25 5.15486e-26 0.0002
10 26 3.11004e-26 0.0001
10 27 3.62286e-26 0.0001
10 28 1.01359e-25 0.0003
10 29 1.90786e-25 0.0006
10 30 1.17792e-25 0.0004
10 31 3.9241e-26 0.0001
10 32 1.12564e-25 0.0004
10 33 3.81263e-26 0.0001
10 34 3.23044e-26 0.0001
10 35 1.38213e-25 0.0004
10 36 1.72561e-25 0.0005
10 37 6.40755e-26 0.0002
10 38 4.93476e-26 0.0002
10 39 1.71727e-25 0.0005
10 40 2.59698e-26 0.0001
10 41 6.6926e-26 0.0002
10 42 1.33241e-25 0.0005
10 43 7.25489e-26 0.0002
10 44 7.55087e-26 0.0002
10 45 6.25709e-26 0.0002
10 46 1.76634e-25 0.0005
10 47 5.96326e-26 0.0002
10 48 5.4333e-26 0.0002
10 49 3.33401e-26 0.0001
10 50 5.45523e-26 0.0002
10 51 3.50205e-26 0.0001
10 52 6.06495e-26 0.0002
10 53 0 0
10 54 5.88415e-26 0.0002
10 55 1.29205e-25 0.0004
10 56 5.22783e-26 0.0002
10 57 1.34803e-25 0.0004
10 58 6.22358e-26 0.0002
10 59 1.35481e-25 0.0005
10 60 1.8214e-25 0.0006
10 61 7.63391e-26 0.0003
10 62 1.38646e-25 0.0004
10 63 1.11439e-25 0.0004
10 64 1.40841e-25 0.0004
10 65 2.67797e-26 0.0001
10 66 3.08122e-26 0.0001
10 67 6.16389e-26 0.0003
10 68 5.31707e-26 0.0002
10 69 9.81196e-26 0.0003
10 70 1.14317e-25 0.0004
10 71 1.18316e-25 0.0004
10 72 0 0
10 73 8.68197e-26 0.0003
10 74 1.62227e-25 0.0006
10 75 9.23861e-26 0.0003
10 76 5.10564e-26 0.0002
10 77 2.38184e-26 0.0001
10 78 1.17356e-25 0.0004
10 79 9.23696e-26 0.0003
10 80 1.65606e-25 0.0006
10 81 9.32955e-26 0.0003
10 82 5.98146e-26 0.0002
10 83 1.04514e-25 0.0004
10 84 5.3557e-26 0.0002
10 85 1.90222e-25 0.0007
10 86 2.88861e-25 0.001
10 87 1.47046e-25 0.0005
10 88 1.82348e-25 0.0006
10 89 7.50042e-26 0.0003
10 90 1.10405e-25 0.0004
10 91 4.94026e-26 0.0002
10 92 1.46179e-25 0.0005
10 93 7.51838e-26 0.0003
10 94 6.36359e-26 0.0002
10 95 9.47904e-26 0.0003
10 96 6.08362e-26 0.0002
10 97 2.47718e-25 0.0009
10 98 8.63178e-26 0.0003
10 99 6.60103e-26 0.0003
10 100 8.94678e-26 0.0003
10 101 0 0
10 102 1.21519e-25 0.0004
10 103 1.55559e-25 0.0005
10 104 7.41293e-26 0.0003
10 105 2.2593e-25 0.0009
10 106 4.76692e-26 0.0002
10 107 1.19674e-25 0.0004
10 108 1.02725e-25 0.0004
10 109 8.97881e-26 0.0004
10 110 8.68189e-26 0.0003
10 111 6.3064e-26 0.0002
10 112 2.36935e-26 0.0001
10 113 2.43817e-26 0.0001
10 114 8.78587e-26 0.0003
10 115 1.08905e-25 0.0004
10 116 8.62832e-26 0.0003
10 117 5.4488e-26 0.0002
10 118 1.55985e-25 0.0006
10 119 1.02744e-25 0.0004
10 120 1.15752e-25 0.0004
10 121 1.19522e-25 0.0005
10 122 1.70298e-25 0.0006
10 123 7.77304e-26 0.0003
10 124 1.09114e-25 0.0004
10 125 2.3087e-26 0.0001
10 126 1.69914e-25 0.0006
10 127 1.27253e-25 0.0005
10 128 1.97731e-25 0.0008
10 129 1.4929e-25 0.0006
10 130 9.25462e-26 0.0004
10 131 8.01346e-26 0.0003
10 132 2.18474e-25 0.0008
10 133 1.62217e-25 0.0006
10 134 1.50638e-25 0.0006
10 135 5.6468e-26 0.0002
10 136 1.57006e-25 0.0006
10 137 2.20879e-25 0.0009
10 138 5.92617e-26 0.0003
10 139 1.70984e-25 0.0006
10 140 9.18097e-26 0.0003
10 141 4.17292e-26 0.0002
10 142 2.12521e-25 0.0008
10 143 1.02303e-25 0.0004
10 144 1.5372e-25 0.0006
10 145 4.8118e-26 0.0002
10 146 1.15085e-25 0.0004
10 147 7.42698e-26 0.0003
10 148 2.23129e-25 0.0009
10 149 8.15535e-26 0.0003
10 150 2.76901e-25 0.0011
10 151 2.07493e-25 0.0008
10 152 1.44061e-25 0.0005
10 153 8.22582e-26 0.0003
10 154 1.18351e-25 0.0005
10 155 2.55491e-25 0.001
10 156 1.87145e-25 0.0008
10 157 9.03726e-26 0.0004
10 158 1.07316e-25 0.0004
10 159 8.80735e-26 0.0004
10 160 1.09664e-25 0.0004
10 161 6.77704e-26 0.0003
10 162 2.16301e-25 0.0008
10 163 1.74131e-25 0.0007
10 164 4.83726e-26 0.0002
10 165 1.41021e-25 0.0006
10 166 1.59457e-25 0.0006
10 167 1.68945e-25 0.0007
10 168 1.22832e-25 0.0005
10 169 1.91567e-25 0.0008
10 170 1.41179e-25 0.0005
10 171 1.84069e-25 0.0008
10 172 9.58821e-26 0.0004
10 173 8.18351e-26 0.0003
10 174 9.25491e-26 0.0004
10 175 2.50102e-25 0.001
10 176 2.49565e-25 0.001
10 177 1.42423e-25 0.0006
10 178 2.79195e-25 0.0011
10 179 1.22683e-25 0.0005
10 180 8.37525e-26 0.0003
10 181 1.38589e-25 0.0006
10 182 8.11655e-26 0.0003
10 183 1.31953e-25 0.0005
10 184 1.57067e-25 0.0006
10 185 1.15093e-25 0.0005
10 186 4.4968e-26 0.0002
10 187 1.1501e-25 0.0005
10 188 1.02218e-25 0.0004
10 189 1.00761e-25 0.0004
10 190 2.39456e-25 0.001
10 191 8.417e-26 0.0004
10 192 1.21214e-25 0.0005
10 193 6.72023e-26 0.0003
