# Energy z_(mm) Energy_Dep Net_Charge
30 0 2.44105e-23 -0.9271
30 1 1.5167e-25 0.0004
30 2 9.87544e-26 0.0003
30 3 3.05881e-26 0.0001
30 4 1.00355e-25 0.0003
30 5 7.58396e-26 0.0002
30 6 1.29285e-25 0.0004
30 7 7.02076e-26 0.0002
30 8 0 0
30 9 2.68391e-26 0.0001
30 10 1.42651e-25 0.0004
30 11 3.44252e-26 0.0001
30 12 1.77833e-25 0.0005
30 13 0 0
30 14 7.2415e-26 0.0002
30 15 3.88404e-26 0.0001
30 16 5.02581e-26 0.0002
30 17 0 0
30 18 1.55288e-25 0.0005
30 19 6.61649e-26 0.0002
30 20 3.28463e-26 0.0001
30 21 1.00843e-25 0.0003
30 22 2.002e-25 0.0006
30 23 6.96374e-26 0.0002
30 24 0 0
30 25 6.01671e-26 0.0002
30 26 1.08623e-25 0.0003
30 27 1.02448e-25 0.0003
30 28 7.32616e-26 0.0002
30 29 1.12024e-25 0.0004
30 30 1.74154e-25 0.0004
30 31 1.28259e-25 0.0004
30 32 1.06698e-25 0.0003
30 33 1.76034e-25 0.0005
30 34 1.2135e-25 0.0004
30 35 2.00231e-25 0.0006
30 36 8.78094e-26 0.0002
30 37 0 0
30 38 1.59853e-25 0.0004
30 39 0 0
30 40 1.24761e-25 0.0004
30 41 5.08111e-26 0.0002
30 42 8.01216e-26 0.0002
30 43 1.26905e-25 0.0004
30 44 6.21097e-26 0.0001
30 45 1.13486e-25 0.0003
30 46 1.84546e-25 0.0006
30 47 5.52498e-26 0.0002
30 48 5.49477e-26 0.0002
30 49 1.67456e-25 0.0005
30 50 6.08862e-26 0.0002
30 51 1.28623e-25 0.0004
30 52 1.2635e-25 0.0003
30 53 1.84718e-25 0.0006
30 54 1.91136e-25 0.0005
30 55 1.35601e-25 0.0004
30 56 9.94934e-26 0.0003
30 57 1.72924e-25 0.0005
30 58 1.14872e-25 0.0004
30 59 2.07099e-25 0.0006
30 60 9.83105e-26 0.0003
30 61 6.68055e-26 0.0002
30 62 1.32308e-25 0.0004
30 63 1.88933e-25 0.0005
30 64 7.06933e-26 0.0002
30 65 2.23589e-25 0.0007
30 66 5.91604e-26 0.0002
30 67 1.26387e-25 0.0004
30 68 1.71501e-25 0.0005
30 69 1.67091e-25 0.0005
30 70 5.87216e-26 0.0002
30 71 6.32372e-26 0.0002
30 72 1.218e-25 0.0004
30 73 1.79596e-25 0.0006
30 74 9.24153e-26 0.0003
30 75 1.03054e-25 0.0003
30 76 3.47533e-26 0.0001
30 77 4.73016e-26 0.0001
30 78 2.3398e-25 0.0007
30 79 9.37123e-26 0.0003
30 80 1.33295e-25 0.0004
30 81 1.56312e-25 0.0005
30 82 0 0
30 83 1.37282e-25 0.0005
30 84 1.43166e-25 0.0005
30 85 1.45513e-25 0.0005
30 86 1.46382e-25 0.0005
30 87 2.68846e-25 0.0008
30 88 6.57563e-26 0.0002
30 89 2.61405e-25 0.0008
30 90 0 0
30 91 9.4184e-26 0.0003
30 92 1.19533e-25 0.0004
30 93 8.44792e-26 0.0003
30 94 1.10147e-25 0.0004
30 95 1.18102e-25 0.0004
30 96 3.25859e-26 0.0001
30 97 1.19998e-25 0.0004
30 98 1.85747e-25 0.0006
30 99 9.51057e-26 0.0003
30 100 2.53294e-25 0.0008
30 101 8.88921e-26 0.0003
30 102 4.70465e-26 0.0001
30 103 1.81555e-25 0.0006
30 104 1.50796e-25 0.0005
30 105 1.79911e-25 0.0006
30 106 1.42335e-25 0.0005
30 107 5.4627e-26 0.0002
30 108 6.443e-26 0.0002
30 109 5.64002e-26 0.0002
30 110 1.61479e-25 0.0005
30 111 6.20304e-26 0.0002
30 112 1.96189e-25 0.0006
30 113 4.18821e-26 0.0002
30 114 9.13304e-26 0.0003
30 115 2.6103e-26 0.0001
30 116 1.21526e-25 0.0004
30 117 8.00954e-26 0.0003
30 118 2.06279e-25 0.0007
30 119 1.01085e-25 0.0003
30 120 3.06586e-26 0.0001
30 121 9.42188e-26 0.0003
30 122 2.35274e-25 0.0007
30 123 1.74092e-25 0.0005
30 124 1.60087e-25 0.0005
30 125 1.26521e-25 0.0005
30 126 2.53199e-25 0.0008
30 127 2.18158e-25 0.0007
30 128 6.61416e-26 0.0002
30 129 1.14208e-25 0.0004
30 130 2.24347e-25 0.0008
