# Energy z_(mm) Energy_Dep Net_Charge
5000 0 5.51406e-22 -0.9231
5000 1 4.44833e-24 0.0006
5000 2 0 0
5000 3 6.57947e-25 0.0001
5000 4 5.04907e-25 0.0001
5000 5 1.75552e-24 0.0002
5000 6 3.73596e-24 0.0005
5000 7 8.50221e-25 0.0001
5000 8 3.49774e-24 0.0004
5000 9 1.46649e-24 0.0002
5000 10 3.61571e-24 0.0005
5000 11 1.32756e-24 0.0002
5000 12 2.61999e-24 0.0003
5000 13 2.25071e-24 0.0003
5000 14 0 0
5000 15 1.74497e-24 0.0002
5000 16 1.53637e-24 0.0002
5000 17 3.22513e-24 0.0004
5000 18 4.07685e-24 0.0005
5000 19 0 0
5000 20 0 0
5000 21 1.58659e-24 0.0002
5000 22 1.50878e-24 0.0002
5000 23 7.99546e-25 0.0001
5000 24 1.23509e-24 0.0002
5000 25 1.58207e-24 0.0002
5000 26 1.6914e-24 0.0002
5000 27 3.19634e-24 0.0004
5000 28 2.18272e-24 0.0003
5000 29 5.27975e-24 0.0007
5000 30 3.34406e-24 0.0004
5000 31 1.25038e-24 0.0002
5000 32 3.79726e-24 0.0005
5000 33 0 0
5000 34 0 0
5000 35 3.63316e-24 0.0005
5000 36 7.52736e-25 0.0001
5000 37 2.32257e-24 0.0004
5000 38 1.84742e-24 0.0003
5000 39 1.63781e-24 0.0002
5000 40 1.69271e-24 0.0002
5000 41 1.52623e-24 0.0002
5000 42 1.63502e-24 0.0002
5000 43 1.42429e-24 0.0002
5000 44 0 0
5000 45 8.43182e-25 0.0001
5000 46 6.58496e-25 0.0001
5000 47 7.27738e-25 0.0001
5000 48 7.47981e-25 0.0001
5000 49 3.25001e-24 0.0004
5000 50 1.8241e-24 0.0003
5000 51 3.07951e-24 0.0004
5000 52 1.12052e-24 0.0003
5000 53 1.34751e-24 0.0002
5000 54 2.6879e-24 0.0004
5000 55 2.23287e-24 0.0004
5000 56 8.22801e-25 0.0001
5000 57 3.68545e-24 0.0005
5000 58 1.12325e-24 0.0002
