# Energy z_(mm) Energy_Dep Net_Charge
50 0 2.29356e-23 -0.9326
50 1 1.67911e-25 0.0005
50 2 7.27799e-26 0.0002
50 3 1.78574e-25 0.0004
50 4 1.12743e-25 0.0003
50 5 7.04997e-26 0.0002
50 6 5.81694e-26 0.0002
50 7 1.82248e-25 0.0005
50 8 9.4534e-26 0.0003
50 9 2.59028e-25 0.0007
50 10 1.76341e-25 0.0005
50 11 2.44326e-25 0.0007
50 12 7.0164e-26 0.0002
50 13 7.00938e-26 0.0002
50 14 9.59049e-26 0.0003
50 15 8.97074e-26 0.0003
50 16 3.46867e-26 0.0001
50 17 6.79154e-26 0.0002
50 18 9.72722e-26 0.0003
50 19 6.72627e-26 0.0002
50 20 0 0
50 21 1.68971e-25 0.0005
50 22 1.62434e-25 0.0004
50 23 9.60519e-26 0.0003
50 24 9.91956e-26 0.0003
50 25 3.70484e-26 0.0001
50 26 6.24569e-26 0.0002
50 27 1.30712e-25 0.0004
50 28 6.91699e-26 0.0002
50 29 1.09295e-25 0.0003
50 30 2.88898e-26 0.0001
50 31 1.02796e-25 0.0003
50 32 1.50235e-25 0.0005
50 33 1.01916e-25 0.0003
50 34 1.33474e-25 0.0003
50 35 9.97254e-26 0.0003
50 36 3.58504e-26 0.0001
50 37 1.72174e-25 0.0005
50 38 1.61803e-25 0.0004
50 39 1.2657e-25 0.0004
50 40 0 0
50 41 9.38906e-26 0.0003
50 42 1.78614e-25 0.0004
50 43 1.3377e-25 0.0003
50 44 1.08296e-25 0.0003
50 45 9.28338e-26 0.0003
50 46 1.81392e-25 0.0003
50 47 2.75619e-26 0.0001
50 48 5.55925e-26 0.0002
50 49 1.29808e-25 0.0004
50 50 1.44419e-25 0.0004
50 51 1.63625e-25 0.0005
50 52 8.05778e-26 0.0003
50 53 1.34066e-25 0.0004
50 54 1.49378e-25 0.0005
50 55 1.70097e-25 0.0005
50 56 8.48726e-26 0.0003
50 57 6.79716e-26 0.0002
50 58 6.43273e-26 0.0002
50 59 3.55889e-26 0.0001
50 60 1.6673e-25 0.0005
50 61 3.33663e-26 0.0001
50 62 1.00636e-25 0.0003
50 63 1.0724e-25 0.0003
50 64 7.12242e-26 0.0002
50 65 3.48255e-26 0.0001
50 66 1.02348e-25 0.0003
50 67 1.32823e-25 0.0004
50 68 9.40057e-26 0.0003
50 69 9.77837e-26 0.0003
50 70 1.93328e-25 0.0006
50 71 7.2891e-26 0.0002
50 72 3.20108e-26 0.0001
50 73 1.35709e-25 0.0005
50 74 1.35668e-25 0.0004
50 75 2.96318e-26 0.0001
50 76 0 0
50 77 9.63617e-26 0.0003
50 78 1.24978e-25 0.0004
50 79 6.29431e-26 0.0002
50 80 1.20673e-25 0.0004
50 81 1.2588e-25 0.0004
50 82 1.8189e-25 0.0006
50 83 1.34194e-25 0.0003
50 84 1.73379e-25 0.0006
50 85 7.86975e-26 0.0003
50 86 2.7711e-26 0.0001
50 87 8.28871e-26 0.0003
50 88 2.19845e-25 0.0007
50 89 1.57193e-25 0.0005
50 90 7.93121e-26 0.0003
50 91 1.29648e-25 0.0004
50 92 7.92647e-26 0.0003
50 93 1.45498e-25 0.0005
50 94 1.22992e-25 0.0004
50 95 6.12692e-26 0.0002
50 96 2.80209e-25 0.0007
50 97 1.1549e-25 0.0004
50 98 1.18889e-25 0.0004
50 99 9.77199e-26 0.0004
50 100 1.58117e-25 0.0005
50 101 5.18963e-26 0.0002
50 102 1.77874e-25 0.0006
50 103 1.33375e-25 0.0004
50 104 1.97399e-25 0.0007
50 105 1.82425e-25 0.0006
50 106 1.79954e-25 0.0006
50 107 5.2955e-26 0.0001
50 108 6.26287e-26 0.0002
50 109 2.08571e-25 0.0007
50 110 7.83902e-26 0.0003
50 111 5.88736e-26 0.0002
50 112 9.04068e-26 0.0002
50 113 1.02781e-25 0.0004
50 114 7.91968e-26 0.0003
50 115 1.612e-25 0.0005
50 116 9.13733e-26 0.0003
50 117 1.64809e-25 0.0006
50 118 2.13704e-25 0.0007
50 119 1.1132e-25 0.0004
50 120 8.16553e-26 0.0003
50 121 1.21286e-25 0.0004
50 122 1.81204e-25 0.0007
50 123 4.60437e-26 0.0002
50 124 1.77674e-25 0.0007
50 125 5.824e-26 0.0002
50 126 6.07236e-26 0.0002
50 127 1.51189e-25 0.0004
50 128 1.02172e-25 0.0004
50 129 6.07582e-26 0.0002
50 130 1.07908e-25 0.0004
50 131 1.15352e-25 0.0004
50 132 3.64499e-26 0.0001
50 133 1.26787e-25 0.0005
50 134 1.49255e-25 0.0005
50 135 1.23173e-25 0.0004
50 136 8.57581e-26 0.0003
50 137 1.55552e-25 0.0005
50 138 1.25899e-25 0.0004
50 139 1.39996e-25 0.0005
50 140 1.69334e-25 0.0006
50 141 1.16624e-25 0.0005
50 142 1.67332e-25 0.0006
50 143 1.12289e-25 0.0004
50 144 1.68134e-25 0.0007
50 145 1.16006e-25 0.0004
50 146 4.83248e-26 0.0002
50 147 2.01329e-25 0.0007
50 148 2.12856e-25 0.0007
50 149 1.37668e-25 0.0005
50 150 1.67616e-25 0.0005
50 151 2.30019e-25 0.0007
50 152 8.61183e-26 0.0003
50 153 1.57853e-25 0.0006
50 154 7.40562e-26 0.0003
50 155 1.0026e-25 0.0004
50 156 1.73553e-25 0.0006
50 157 8.24128e-26 0.0003
50 158 1.54776e-25 0.0004
50 159 8.94581e-26 0.0003
