# Energy z_(mm) Energy_Dep Net_Charge
500 0 1.78079e-22 -0.9192
500 1 0 0
500 2 8.3545e-25 0.0003
500 3 2.96326e-25 0.0001
500 4 8.81783e-25 0.0004
500 5 3.0423e-25 0.0001
500 6 5.78272e-25 0.0002
500 7 9.0234e-25 0.0005
500 8 5.7926e-25 0.0002
500 9 5.47183e-25 0.0002
500 10 3.05806e-25 0.0001
500 11 2.64002e-25 0.0001
500 12 7.778e-25 0.0003
500 13 8.62618e-25 0.0004
500 14 5.63631e-25 0.0002
500 15 5.54259e-25 0.0002
500 16 2.9296e-25 0.0001
500 17 5.38034e-25 0.0002
500 18 7.7166e-25 0.0004
500 19 6.81961e-25 0.0003
500 20 8.69607e-25 0.0004
500 21 5.28017e-25 0.0002
500 22 1.0635e-24 0.0004
500 23 8.11847e-25 0.0003
500 24 2.52703e-26 0.0001
500 25 1.32793e-24 0.0005
500 26 9.5238e-25 0.0005
500 27 1.61894e-24 0.0006
500 28 5.42441e-25 0.0003
500 29 8.52601e-25 0.0004
500 30 8.06509e-25 0.0003
500 31 2.02035e-25 0.0002
500 32 8.22807e-25 0.0003
500 33 8.33069e-25 0.0003
500 34 7.95731e-25 0.0004
500 35 5.19854e-25 0.0002
500 36 2.08853e-25 0.0002
500 37 9.97532e-25 0.0004
500 38 6.0616e-26 0.0002
500 39 5.7851e-25 0.0003
500 40 8.09042e-25 0.0003
500 41 5.14528e-25 0.0002
500 42 1.32538e-24 0.0005
500 43 8.05854e-25 0.0003
500 44 5.34492e-25 0.0002
500 45 1.59077e-24 0.0007
500 46 5.60601e-25 0.0002
500 47 7.60029e-25 0.0003
500 48 9.93116e-25 0.0005
500 49 2.58541e-25 0.0002
500 50 3.06489e-25 0.0003
500 51 2.69337e-25 0.0001
500 52 2.39894e-25 0.0001
500 53 0 0
500 54 5.2724e-25 0.0003
500 55 6.38571e-25 0.0003
500 56 2.24288e-24 0.0009
500 57 8.08948e-25 0.0003
500 58 7.55607e-25 0.0004
500 59 4.82906e-25 0.0002
500 60 1.2615e-24 0.0005
500 61 1.05605e-24 0.0004
500 62 2.66192e-25 0.0001
500 63 1.02926e-24 0.0004
500 64 2.52689e-25 0.0001
500 65 9.72949e-25 0.0004
500 66 2.4495e-25 0.0001
500 67 2.49782e-25 0.0001
500 68 7.95396e-25 0.0003
500 69 1.01527e-24 0.0005
500 70 2.58471e-25 0.0001
500 71 8.51627e-25 0.0005
500 72 1.84774e-24 0.0009
500 73 9.41873e-25 0.0005
500 74 7.63237e-25 0.0003
500 75 1.21319e-24 0.0006
500 76 1.00113e-24 0.0004
500 77 6.58801e-25 0.0003
500 78 9.60722e-25 0.0004
500 79 1.23411e-24 0.0005
500 80 5.092e-25 0.0003
500 81 1.01626e-24 0.0004
500 82 7.45586e-25 0.0003
500 83 1.8424e-24 0.0008
500 84 9.51616e-25 0.0004
500 85 1.46539e-24 0.0006
500 86 8.09042e-25 0.0004
500 87 1.17895e-24 0.0006
500 88 4.78174e-25 0.0002
500 89 1.32985e-24 0.0008
500 90 4.00068e-26 0.0002
500 91 1.24077e-24 0.0005
500 92 1.17434e-24 0.0006
500 93 4.6073e-25 0.0002
500 94 5.36111e-25 0.0004
500 95 5.20176e-25 0.0004
500 96 8.57627e-25 0.0005
500 97 4.6258e-25 0.0002
500 98 1.77691e-24 0.0008
500 99 2.45065e-25 0.0001
500 100 0 0
500 101 4.59284e-25 0.0002
500 102 9.44325e-25 0.0004
500 103 7.42315e-25 0.0006
500 104 7.12989e-25 0.0004
500 105 1.01363e-24 0.0005
500 106 1.17326e-24 0.0006
500 107 7.33074e-25 0.0003
500 108 2.43937e-25 0.0001
500 109 1.1847e-24 0.0005
500 110 9.64048e-25 0.0004
500 111 9.82317e-25 0.0005
500 112 1.63733e-24 0.0007
500 113 4.95708e-25 0.0004
500 114 6.98214e-25 0.0004
500 115 2.21668e-25 0.0002
500 116 1.40657e-24 0.0007
500 117 6.35228e-25 0.0003
500 118 9.14718e-25 0.0005
500 119 9.30147e-25 0.0005
500 120 7.05453e-25 0.0004
500 121 5.65181e-25 0.0004
500 122 4.386e-25 0.0002
500 123 7.23406e-25 0.0004
500 124 4.54268e-25 0.0002
500 125 1.38763e-24 0.0006
500 126 2.49354e-25 0.0001
500 127 7.15329e-25 0.0004
500 128 4.73937e-25 0.0003
500 129 2.4911e-25 0.0001
500 130 6.68524e-25 0.0003
500 131 1.1412e-24 0.0006
500 132 4.4186e-25 0.0002
500 133 1.42164e-24 0.0006
500 134 1.03919e-24 0.0005
500 135 7.51899e-25 0.0006
500 136 4.20665e-25 0.0002
500 137 4.06628e-25 0.0003
500 138 2.36206e-25 0.0002
500 139 1.64347e-24 0.0008
500 140 2.16922e-25 0.0001
500 141 1.06981e-24 0.0006
500 142 6.20999e-25 0.0004
500 143 1.33732e-24 0.0007
500 144 1.0951e-24 0.0006
500 145 1.33906e-24 0.0006
500 146 1.12344e-24 0.0005
