# Gamma Count and Particle Production Probabilities 
# 1.095 gammas per event 
# [ p \ n ] production probability matrix per event 
0.888 0.002 0 0 0 0 0 
0.002 0.008 0.002 0 0 0 0 
0.011 0.017 0.025 0.003 0 0 0 
0.003 0.003 0.007 0.003 0 0.001 0 
0.001 0.002 0.003 0.004 0.003 0 0 
0 0 0.001 0 0 0.001 0 
0 0 0.001 0 0 0 0 
# Gamma Count and Particle Production Probabilities 
# 1.104 gammas per event 
# [ p \ n ] production probability matrix per event 
0.896 0.002 0 0 0 0 0 
0.002 0.008 0.002 0 0 0 0 
0.012 0.017 0.025 0.003 0 0 0 
0.003 0.003 0.007 0.003 0 0.001 0 
0.001 0.002 0.003 0.004 0.003 0 0 
0 0 0.001 0 0 0.001 0 
0 0 0.001 0 0 0 0 
# Gamma Count and Particle Production Probabilities 
# 1.104 gammas per event 
# [ p \ n ] production probability matrix per event 
0.896 0.002 0 0 0 0 0 
0.002 0.008 0.002 0 0 0 0 
0.012 0.017 0.025 0.003 0 0 0 
0.003 0.003 0.007 0.003 0 0.001 0 
0.001 0.002 0.003 0.004 0.003 0 0 
0 0 0.001 0 0 0.001 0 
0 0 0.001 0 0 0 0 
# Gamma Count and Particle Production Probabilities 
# 1.104 gammas per event 
# [ p \ n ] production probability matrix per event 
0.896 0.002 0 0 0 0 0 
0.002 0.008 0.002 0 0 0 0 
0.012 0.017 0.025 0.003 0 0 0 
0.003 0.003 0.007 0.003 0 0.001 0 
0.001 0.002 0.003 0.004 0.003 0 0 
0 0 0.001 0 0 0.001 0 
0 0 0.001 0 0 0 0 
