# Energy z_(mm) Energy_Dep Net_Charge
40 0 2.23948e-23 -0.9325
40 1 1.02511e-25 0.0003
40 2 7.51773e-26 0.0002
40 3 3.40017e-26 0.0001
40 4 0 0
40 5 6.83384e-26 0.0001
40 6 1.07375e-25 0.0003
40 7 2.91583e-26 0.0001
40 8 1.2133e-25 0.0002
40 9 7.52672e-26 0.0002
40 10 3.34219e-26 0.0001
40 11 7.11335e-26 0.0001
40 12 6.04652e-26 0.0002
40 13 3.28255e-26 0.0001
40 14 6.76793e-26 0.0002
40 15 2.02617e-25 0.0005
40 16 7.26553e-26 0.0002
40 17 9.64983e-26 0.0003
40 18 6.87994e-26 0.0002
40 19 3.83988e-26 0.0001
40 20 2.40612e-25 0.0007
40 21 0 0
40 22 1.89706e-25 0.0006
40 23 7.02356e-26 0.0002
40 24 2.71684e-26 0.0001
40 25 1.73765e-25 0.0005
40 26 8.96761e-26 0.0003
40 27 2.77075e-26 0.0001
40 28 1.6042e-25 0.0005
40 29 1.61335e-25 0.0004
40 30 1.11471e-25 0.0003
40 31 3.25477e-26 0.0001
40 32 9.5032e-26 0.0003
40 33 1.34068e-25 0.0004
40 34 1.90265e-25 0.0006
40 35 9.83271e-26 0.0003
40 36 1.62301e-25 0.0004
40 37 1.40595e-25 0.0004
40 38 1.06489e-25 0.0003
40 39 9.47132e-26 0.0003
40 40 1.59554e-25 0.0005
40 41 0 0
40 42 1.00544e-25 0.0003
40 43 1.74124e-25 0.0005
40 44 9.68709e-26 0.0003
40 45 1.15318e-25 0.0004
40 46 0 0
40 47 5.75799e-26 0.0002
40 48 1.28805e-25 0.0003
40 49 1.23654e-25 0.0004
40 50 8.45905e-26 0.0003
40 51 2.6361e-25 0.0007
40 52 1.19457e-25 0.0004
40 53 1.89892e-25 0.0006
40 54 8.27062e-26 0.0003
40 55 6.97649e-26 0.0002
40 56 8.22699e-26 0.0003
40 57 1.93118e-25 0.0007
40 58 5.38608e-26 0.0002
40 59 1.55788e-25 0.0004
40 60 1.99028e-25 0.0006
40 61 3.17326e-25 0.0009
40 62 1.43844e-25 0.0004
40 63 7.4258e-26 0.0002
40 64 2.65817e-26 0.0001
40 65 1.19225e-25 0.0004
40 66 2.27538e-25 0.0008
40 67 9.12291e-26 0.0003
40 68 5.5009e-26 0.0002
40 69 1.43673e-25 0.0005
40 70 2.2822e-25 0.0008
40 71 5.61728e-26 0.0002
40 72 9.35727e-26 0.0003
40 73 2.08615e-25 0.0007
40 74 3.19126e-26 0.0001
40 75 2.22364e-25 0.0006
40 76 1.36439e-25 0.0004
40 77 1.18733e-25 0.0004
40 78 1.58815e-25 0.0005
40 79 1.23984e-25 0.0004
40 80 1.15395e-25 0.0004
40 81 5.45745e-26 0.0002
40 82 0 0
40 83 9.62706e-26 0.0003
40 84 1.39791e-25 0.0005
40 85 2.39052e-25 0.0008
40 86 1.9776e-25 0.0006
40 87 9.94592e-26 0.0003
40 88 6.0305e-26 0.0002
40 89 2.29621e-25 0.0008
40 90 1.42929e-25 0.0005
40 91 9.6015e-26 0.0002
40 92 2.2282e-26 0.0001
40 93 2.25897e-25 0.0007
40 94 5.63211e-26 0.0002
40 95 9.26396e-26 0.0003
40 96 8.46877e-26 0.0003
