# Energy z_(mm) Energy_Dep Net_Charge
3000 0 3.15067e-22 -0.9404
3000 1 1.29964e-24 0.0002
3000 2 1.94201e-24 0.0004
3000 3 0 0
3000 4 0 0
3000 5 1.15806e-24 0.0002
3000 6 2.34069e-24 0.0004
3000 7 1.00491e-24 0.0002
3000 8 0 0
3000 9 6.72199e-25 0.0001
3000 10 0 0
3000 11 1.59894e-24 0.0003
3000 12 1.63807e-24 0.0003
3000 13 0 0
3000 14 1.83573e-24 0.0003
3000 15 1.90809e-24 0.0003
3000 16 4.44884e-25 0.0001
3000 17 6.43245e-25 0.0001
3000 18 0 0
3000 19 0 0
3000 20 2.3797e-24 0.0004
3000 21 1.57657e-24 0.0003
3000 22 5.0439e-25 0.0001
3000 23 6.47157e-25 0.0001
3000 24 1.16724e-24 0.0002
3000 25 1.28654e-24 0.0002
3000 26 4.54196e-25 0.0001
3000 27 0 0
3000 28 4.74525e-25 0.0001
3000 29 6.55412e-25 0.0001
3000 30 0 0
3000 31 5.26451e-25 0.0001
3000 32 1.80589e-24 0.0003
3000 33 0 0
3000 34 6.92082e-25 0.0001
3000 35 4.0158e-25 0.0001
3000 36 5.05177e-25 0.0001
3000 37 5.11744e-25 0.0001
3000 38 3.03072e-25 0.0002
3000 39 9.49399e-25 0.0002
3000 40 3.2231e-24 0.0006
3000 41 1.67456e-24 0.0003
3000 42 5.37836e-25 0.0001
3000 43 6.61738e-25 0.0001
3000 44 1.15633e-24 0.0002
3000 45 0 0
3000 46 0 0
3000 47 5.69975e-25 0.0001
3000 48 1.66548e-24 0.0003
3000 49 1.59587e-24 0.0003
3000 50 6.02948e-25 0.0001
3000 51 8.82178e-25 0.0002
3000 52 6.21212e-25 0.0001
3000 53 1.57877e-24 0.0003
3000 54 1.68232e-24 0.0004
3000 55 1.24485e-24 0.0002
3000 56 1.5971e-24 0.0004
3000 57 1.56762e-24 0.0003
3000 58 9.75069e-25 0.0002
3000 59 4.6161e-25 0.0001
3000 60 7.93328e-25 0.0002
3000 61 2.12297e-26 0.0001
3000 62 1.15462e-24 0.0003
3000 63 1.64763e-24 0.0003
3000 64 2.98985e-25 0.0001
3000 65 0 0
3000 66 1.5021e-24 0.0003
3000 67 4.54935e-25 0.0001
3000 68 1.31747e-24 0.0003
3000 69 4.53458e-25 0.0001
3000 70 3.02344e-24 0.0007
3000 71 0 0
3000 72 1.42488e-24 0.0003
3000 73 7.91284e-25 0.0002
3000 74 0 0
3000 75 1.70218e-24 0.0004
3000 76 1.31263e-24 0.0003
3000 77 5.66028e-25 0.0001
3000 78 2.05897e-24 0.0004
3000 79 2.4485e-24 0.0005
3000 80 1.78222e-24 0.0004
3000 81 1.05545e-24 0.0002
3000 82 1.07053e-24 0.0002
3000 83 1.15144e-24 0.0002
3000 84 4.26887e-25 0.0001
3000 85 1.15199e-24 0.0002
3000 86 0 0
3000 87 1.74217e-24 0.0003
3000 88 3.10993e-24 0.0006
3000 89 8.32811e-25 0.0002
3000 90 1.526e-24 0.0003
3000 91 3.10472e-24 0.0006
3000 92 0 0
3000 93 7.06196e-25 0.0002
3000 94 1.57269e-24 0.0003
3000 95 1.08989e-24 0.0002
3000 96 2.18082e-24 0.0004
3000 97 4.58218e-25 0.0001
3000 98 2.10294e-24 0.0004
3000 99 1.64097e-24 0.0003
3000 100 0 0
3000 101 1.42979e-24 0.0003
3000 102 1.14703e-24 0.0002
3000 103 1.20892e-24 0.0004
3000 104 5.90558e-25 0.0001
3000 105 9.6779e-25 0.0002
